partner_deal_id,partner_name,partner_id,account_name,deal_amount_gross,partner_margin_pct,net_revenue,start_date,end_date,status,crm_opportunity_id
DEAL-0037,TechForward Partners,PTR-001,"LEARNSPHERE",6953,17,5770.99,2023-09-01,2024-09-01,expired,OPP-47338
DEAL-0038,GlobalConnect,PTR-005,"Europa Retail",10143,30,7100.1,2024-04-01,2025-04-01,active,OPP-65346
DEAL-0039,Nexus Channel Group,PTR-003,"Redwood Mfg Corp",5949,29,4223.79,2024-03-01,2025-03-01,pending,
DEAL-0040,GlobalConnect,PTR-005,"AMPLIFY MEDIA",40289,19,32634.09,2023-01-01,2024-01-01,active,OPP-47543
DEAL-0041,Apex Resellers,PTR-004,"Andean Mfg",18932,31,13063.08,2024-10-01,2025-10-01,active,OPP-65507
DEAL-0042,Apex Resellers,PTR-004,"Codex",19936,27,14553.28,2024-08-01,2025-08-01,active,OPP-49703
DEAL-0043,GlobalConnect,PTR-005,"Bazaar Tech",25084,25,18813,2023-09-01,2024-09-01,active,OPP-12283
DEAL-0044,Apex Resellers,PTR-004,"BankTech",12109,32,8234.12,2023-09-01,2024-09-01,active,OPP-93943
DEAL-0045,GlobalConnect,PTR-005,"Mercado",45836,24,34835.36,2023-01-01,2024-01-01,active,
DEAL-0046,CloudBridge Consulting,PTR-002,"AcademiQ Solutions",43778,26,32412.75,2024-06-01,2025-06-01,pending,OPP-36521
DEAL-0047,TechForward Partners,PTR-001,"EDGEPOINT SYSTEMS",42626,29,30264.46,2024-12-01,2025-12-01,expired,OPP-66945
DEAL-0048,CloudBridge Consulting,PTR-002,"Nordic Shops AB",42777,15,36360.45,2023-09-01,2024-09-01,expired,OPP-33496
DEAL-0049,TechForward Partners,PTR-001,"Steelbridge",12683,27,9258.59,2024-10-01,2025-10-01,active,OPP-99133
DEAL-0050,Apex Resellers,PTR-004,"PRECISION DYNAMICS",33886,30,23720.2,2023-02-01,2024-02-01,expired,OPP-89650
DEAL-0051,TechForward Partners,PTR-001,"ARCUS TECHNOLOGIES",41489,25,31116.75,2024-11-01,2025-11-01,pending,
DEAL-0052,Apex Resellers,PTR-004,"PACIFICMART",23885,16,20063.4,2023-03-01,2024-03-01,active,OPP-56276
DEAL-0053,GlobalConnect,PTR-005,"Cortex Auto",30228,21,23880.12,2024-09-01,2025-09-01,active,OPP-96870
DEAL-0054,Nexus Channel Group,PTR-003,"NOVACARE DIAGNOSTICS",24834,17,20612.22,2023-02-01,2024-02-01,active,OPP-67952
DEAL-0055,Apex Resellers,PTR-004,"BRIGHT MINDS ACADEMY",19223,20,15378.4,2024-02-01,2025-02-01,active,OPP-50210
DEAL-0056,CloudBridge Consulting,PTR-002,"NEXTERA DIGITAL",8270,21,6533.3,2024-07-01,2025-07-01,active,
DEAL-0057,Nexus Channel Group,PTR-003,"WellCore",48247,18,39562.54,2023-03-01,2024-03-01,pending,OPP-95481
DEAL-0058,Nexus Channel Group,PTR-003,"Salud",15479,25,11609.25,2024-05-01,2025-05-01,expired,OPP-41166
DEAL-0059,CloudBridge Consulting,PTR-002,"NEBULA SYSTEMS",31189,18,25574.98,2024-06-01,2025-06-01,active,OPP-55183
DEAL-0060,TechForward Partners,PTR-001,"CarePath",30035,25,22526.25,2023-04-01,2024-04-01,active,OPP-15068
