opportunity_id,account_id,account_name,opportunity_name,stage,amount,currency,close_date,created_date,days_in_stage,deal_type,contract_term_months,owner_name,last_activity_date,probability,next_step,partner_id
OPP-00015,ACC-00023,Nebula Systems Inc.,Nebula Systems Inc. - Platform 3yr Deal,Closed Won,306000,USD,2024-06-28,2023-08-04,30,New Business,36,Mike Rodriguez,2024-06-28,100,,
OPP-00016,ACC-00024,Ironclad Sec,Ironclad Sec - Enterprise 2yr Deal,Closed Won,156000,USD,2024-10-21,2023-06-25,29,New Business,24,Mike Rodriguez,2024-10-21,100,,
OPP-00017,ACC-00025,ByteForge Inc.,ByteForge Inc. - Platform 2yr Deal,Closed Won,310000,USD,2025-01-08,2024-07-27,12,New Business,24,Lisa Wang,2025-01-08,100,,
OPP-00018,ACC-00026,Datastream,Datastream - Enterprise 2yr Deal,Closed Won,296000,USD,2025-01-29,2023-12-28,10,Expansion,24,Lisa Wang,2025-01-29,100,,
OPP-00019,ACC-00027,CloudPeak,CloudPeak - Suite 3yr Deal,Closed Won,156000,USD,2025-01-06,2024-05-23,29,Expansion,36,David Kim,2025-01-06,100,,
OPP-00020,ACC-00028,Silverline Technology,Silverline Technology - Enterprise 2yr Deal,Closed Won,138000,USD,2024-05-17,2023-10-14,21,Expansion,24,James Park,2024-05-17,100,,
OPP-00021,ACC-00029,Nextera,Nextera - Platform 2yr Deal,Closed Won,142000,USD,2024-10-13,2023-06-13,5,Expansion,24,Sarah Chen,2024-10-13,100,,
OPP-00022,ACC-00030,CoreStack,CoreStack - Enterprise 2yr Deal,Closed Won,110000,USD,2024-07-10,2023-08-23,23,New Business,24,Emma Thompson,2024-07-10,100,,
OPP-00023,ACC-00031,Pulse Analytics Inc.,Pulse Analytics Inc. - Platform 3yr Deal,Closed Won,399000,USD,2024-05-04,2023-06-05,10,New Business,36,Sarah Chen,2024-05-04,100,,
OPP-00024,ACC-00032,Arcus Tech,Arcus Tech - Platform 2yr Deal,Closed Won,134000,USD,2024-11-02,2023-12-22,13,New Business,24,Emma Thompson,2024-11-02,100,,
OPP-00025,ACC-00033,TerraForm,TerraForm - Suite 3yr Deal,Negotiation,297000,USD,2025-08-28,2024-06-19,68,Expansion,36,Emma Thompson,2025-03-08,71,Contract review,
OPP-00026,ACC-00034,Vanta,Vanta - Platform 2yr Deal,Negotiation,164000,USD,2025-07-10,2024-08-23,83,New Business,24,James Park,2025-03-06,67,Contract review,
OPP-00027,ACC-00035,Codex,Codex - Platform 2yr Deal,Negotiation,380000,USD,2025-05-11,2024-04-10,79,New Business,24,Mike Rodriguez,2025-03-20,77,Contract review,
OPP-00028,ACC-00036,Synthetix,Synthetix - Suite 2yr Deal,Negotiation,354000,USD,2025-04-12,2024-03-13,66,Expansion,24,Mike Rodriguez,2025-03-14,78,Contract review,
OPP-00029,ACC-00037,PixelWave Studios,PixelWave Studios - Platform 2yr Deal,Negotiation,304000,USD,2025-08-02,2024-01-06,85,New Business,24,David Kim,2025-03-22,87,Contract review,
OPP-00030,ACC-00038,Alpine Data,Alpine Data - Suite 3yr Deal,Negotiation,315000,USD,2025-06-03,2024-04-05,32,New Business,36,James Park,2025-03-24,67,Contract review,
OPP-00031,ACC-00039,Orbis Technology,Orbis Technology - Suite 2yr Deal,Negotiation,98000,USD,2025-04-14,2024-08-04,52,New Business,24,Lisa Wang,2025-03-18,68,Contract review,
OPP-00032,ACC-00040,NightOwl,NightOwl - Platform 3yr Deal,Negotiation,153000,USD,2025-06-12,2023-09-07,88,New Business,36,Mike Rodriguez,2025-03-15,80,Contract review,
OPP-00033,ACC-00041,Kinetic Sys,Kinetic Sys - Multi-Year Escalator Deal,Closed Won,171000,USD,2024-11-12,2024-02-12,41,New Business,24,Mike Rodriguez,2025-03-24,100,"Y1: 50K, Y2: 55K, Y3: 60K",
OPP-00034,ACC-00042,Zenith AI Corp,Zenith AI Corp - Multi-Year Escalator Deal,Closed Won,403000,USD,2024-09-06,2024-07-04,17,New Business,24,Lisa Wang,2025-03-24,100,"Annual escalator: Y1 $120K, Y2 $132K, Y3 $145K",
OPP-00035,ACC-00043,DragonCloud,DragonCloud - Multi-Year Escalator Deal,Closed Won,270000,USD,2025-02-02,2023-11-01,31,New Business,36,Sarah Chen,2025-03-26,100,"Y1: 80K, Y2: 88K, Y3: 96K",
OPP-00036,ACC-00044,SilkRoute,SilkRoute - Multi-Year Escalator Deal,Closed Won,186000,USD,2023-12-31,2023-08-01,20,New Business,24,Mike Rodriguez,2025-03-12,100,"Ramp: Y1 $40K, Y2 $60K, Y3 $80K",
OPP-00037,ACC-00045,Aurora Technology,Aurora Technology - Multi-Year Escalator Deal,Closed Won,337000,USD,2024-10-17,2023-06-01,47,New Business,24,Mike Rodriguez,2025-03-17,100,"Y1: 100K, Y2: 110K, Y3: 121K",
OPP-00038,ACC-00046,Nuvola,Nuvola - Multi-Year Escalator Deal,Closed Won,254250,USD,2024-10-06,2024-07-14,29,New Business,36,James Park,2025-03-14,100,"Annual escalator: Y1 $75K, Y2 $82.5K, Y3 $90.75K",
OPP-00039,ACC-00047,DigitalBridge,DigitalBridge - Multi-Year Escalator Deal,Negotiation,423000,USD,2025-08-15,2023-06-03,22,New Business,36,Sarah Chen,2025-03-11,73,"Y1: 200K, Y2: 220K",
OPP-00040,ACC-00048,Cloud Vista Inc.,Cloud Vista Inc. - Multi-Year Escalator Deal,Negotiation,502500,USD,2025-05-17,2024-02-05,16,New Business,36,David Kim,2025-03-25,82,"Ramp: Y1 $150K, Y2 $165K, Y3 $181.5K",
OPP-00041,ACC-00030,CoreStack,CoreStack - Suite Upgrade,Negotiation,136000,USD,2025-05-29,2023-12-22,296,Expansion,12,James Park,2025-03-19,42,,
OPP-00042,ACC-00031,Pulse Analytics Inc.,Pulse Analytics Inc. - Annual Contract,Negotiation,44000,USD,2025-05-15,2023-04-04,260,Renewal,12,Mike Rodriguez,2025-03-17,39,Waiting on budget approval,
OPP-00043,ACC-00032,Arcus Tech,Arcus Tech - Enterprise License,Negotiation,130000,USD,2024-09-04,2023-06-25,360,Renewal,12,Emma Thompson,2024-05-07,57,Follow up call,
OPP-00044,ACC-00033,TerraForm,TerraForm - Annual Contract,Negotiation,115000,USD,2024-08-11,2023-01-10,218,Renewal,12,Sarah Chen,2024-08-06,57,Waiting on budget approval,
OPP-00045,ACC-00034,Vanta,Vanta - Enterprise License,Negotiation,41000,USD,2024-06-16,2023-03-05,230,Renewal,12,Sarah Chen,2024-10-27,32,TBD,
OPP-00046,ACC-00035,Codex,Codex - Annual Contract,Negotiation,90000,USD,2025-01-23,2023-03-24,301,New Business,12,Lisa Wang,2024-07-17,43,,
OPP-00047,ACC-00036,Synthetix,Synthetix - Suite Upgrade,Negotiation,167000,USD,2025-04-18,2023-09-28,278,Renewal,12,Lisa Wang,2024-03-20,31,Waiting on budget approval,
OPP-00048,ACC-00037,PixelWave Studios,PixelWave Studios - Annual Contract,Negotiation,62000,USD,2025-01-21,2024-01-18,207,Renewal,12,David Kim,2024-10-02,33,Pending legal review,
OPP-00049,ACC-00038,Alpine Data,Alpine Data - Enterprise License,Negotiation,153000,USD,2025-02-18,2023-07-29,233,New Business,12,Emma Thompson,2024-07-26,57,Pending legal review,
OPP-00050,ACC-00039,Orbis Technology,Orbis Technology - Suite Upgrade,Negotiation,115000,USD,2024-12-24,2023-06-07,257,New Business,12,Lisa Wang,2024-04-28,40,Follow up call,
OPP-00051,ACC-00040,NightOwl,NightOwl - Annual Contract,Negotiation,72000,USD,2024-11-23,2023-06-16,320,Expansion,12,James Park,2024-07-14,38,Follow up call,
OPP-00052,ACC-00041,Kinetic Sys,Kinetic Sys - Enterprise License,Negotiation,101000,USD,2024-12-28,2024-02-18,336,New Business,12,Lisa Wang,2024-03-19,36,,
OPP-00053,ACC-00042,Zenith AI Corp,Zenith AI Corp - Platform Deal,Negotiation,170000,USD,2024-09-11,2024-01-10,211,Expansion,12,David Kim,2024-09-06,31,,
OPP-00054,ACC-00043,DragonCloud,DragonCloud - Platform Deal,Negotiation,75000,USD,2025-02-19,2023-03-17,249,Expansion,12,Sarah Chen,2024-03-01,47,Waiting on budget approval,
OPP-00055,ACC-00044,SilkRoute,SilkRoute - Enterprise License,Negotiation,74000,USD,2024-12-16,2023-01-23,343,Renewal,12,Emma Thompson,2024-07-22,35,Pending legal review,
OPP-00056,ACC-00045,Aurora Technology,Aurora Technology - Platform Deal,Negotiation,108000,USD,2025-01-12,2023-12-13,191,New Business,12,James Park,2024-03-03,48,Pending legal review,
OPP-00057,ACC-00046,Nuvola,Nuvola - Enterprise License,Negotiation,105000,USD,2024-12-28,2023-12-02,194,Renewal,12,James Park,2024-10-26,55,Waiting on budget approval,
OPP-00058,ACC-00047,DigitalBridge,DigitalBridge - Enterprise License,Negotiation,47000,USD,2024-12-08,2023-08-24,359,New Business,12,Emma Thompson,2024-04-04,44,Waiting on budget approval,
OPP-00059,ACC-00048,Cloud Vista Inc.,Cloud Vista Inc. - Enterprise License,Negotiation,60000,USD,2024-12-05,2023-08-03,329,Expansion,12,Lisa Wang,2024-03-14,41,Follow up call,
OPP-00060,ACC-00049,Verdant Sys,Verdant Sys - Enterprise License,Negotiation,101000,USD,2025-03-27,2023-06-15,318,Renewal,12,Emma Thompson,2024-09-28,45,Pending legal review,
OPP-00061,ACC-00050,Helix,Helix - Enterprise License,Negotiation,96000,USD,2025-04-29,2023-01-11,182,New Business,12,David Kim,2024-10-21,40,Follow up call,
OPP-00062,ACC-00051,Cirrus Logic,Cirrus Logic - Suite Upgrade,Negotiation,187000,USD,2025-04-12,2023-02-20,324,Renewal,12,Sarah Chen,2024-04-02,55,,
OPP-00063,ACC-00052,DeepField,DeepField - Suite Upgrade,Negotiation,129000,USD,2024-06-04,2023-12-19,336,Expansion,12,Emma Thompson,2024-07-23,33,Follow up call,
OPP-00064,ACC-00053,Lightspeed,Lightspeed - Suite Upgrade,Negotiation,81000,USD,2025-04-15,2023-10-28,335,Renewal,12,Lisa Wang,2024-11-09,50,TBD,
OPP-00065,ACC-00054,OmniCore,OmniCore - Annual Contract,Negotiation,48000,USD,2025-02-13,2023-06-03,360,Expansion,12,Emma Thompson,2024-06-18,42,,
OPP-00066,ACC-00055,Flux Technology,Flux Technology - Annual Contract,Negotiation,164000,USD,2024-06-25,2023-04-30,321,Renewal,12,David Kim,2024-06-23,41,Follow up call,
OPP-00067,ACC-00056,Sapient,Sapient - Platform Deal,Negotiation,121000,USD,2025-02-01,2023-10-23,184,New Business,12,Lisa Wang,2024-07-27,57,TBD,
OPP-00068,ACC-00057,Wavelength,Wavelength - Enterprise License,Negotiation,168000,USD,2025-01-23,2024-02-03,388,New Business,12,Lisa Wang,2024-05-17,32,TBD,
OPP-00069,ACC-00058,EdgePoint,EdgePoint - Enterprise License,Negotiation,163000,USD,2024-11-09,2024-02-20,204,Expansion,12,David Kim,2024-11-05,40,,
OPP-00070,ACC-00059,Cortex Auto,Cortex Auto - Platform Deal,Negotiation,70000,USD,2025-02-25,2024-02-24,191,Expansion,12,Emma Thompson,2024-03-24,45,,
OPP-00071,ACC-00055,Flux Technology,Flux Technology - Platform Subscription,Closed Won,66000,USD,2024-07-27,2024-01-24,19,New Business,12,Lisa Wang,2024-07-27,100,,
OPP-00072,ACC-00056,Sapient,Sapient - Platform Subscription,Closed Won,46000,USD,2025-01-28,2024-04-27,3,New Business,12,David Kim,2025-01-28,100,,
OPP-00073,ACC-00057,Wavelength,Wavelength - New License,Closed Won,116000,USD,2025-01-14,2023-09-12,10,New Business,12,Mike Rodriguez,2025-01-14,100,,
OPP-00074,ACC-00058,EdgePoint,EdgePoint - Platform Subscription,Closed Won,95000,USD,2024-09-19,2024-05-16,18,New Business,12,Emma Thompson,2024-09-19,100,,
OPP-00075,ACC-00059,Cortex Auto,Cortex Auto - Annual Agreement,Closed Won,69000,USD,2024-03-28,2023-08-19,6,New Business,12,Emma Thompson,2024-03-28,100,,
OPP-00076,ACC-00060,MedVantage Health,MedVantage Health - Platform Subscription,Closed Won,56000,USD,2024-11-29,2024-09-23,9,New Business,12,Mike Rodriguez,2024-11-29,100,,
OPP-00077,ACC-00061,CarePath,CarePath - New License,Closed Won,81000,USD,2024-12-17,2024-06-08,3,New Business,12,David Kim,2024-12-17,100,,
OPP-00078,ACC-00062,Vitality Health,Vitality Health - Annual Agreement,Closed Won,83000,USD,2024-11-17,2024-06-20,3,New Business,12,Sarah Chen,2024-11-17,100,,
OPP-00079,ACC-00063,BioSync,BioSync - Annual Agreement,Closed Won,103000,USD,2024-06-14,2024-02-07,9,New Business,12,James Park,2024-06-14,100,,
OPP-00080,ACC-00064,HealthGrid Inc.,HealthGrid Inc. - Annual Agreement,Closed Won,56000,USD,2024-05-08,2024-03-09,13,New Business,12,Emma Thompson,2024-05-08,100,,
OPP-00081,ACC-00065,Aether Med,Aether Med - New License,Closed Won,35000,USD,2025-02-18,2024-09-09,16,New Business,12,Sarah Chen,2025-02-18,100,,
OPP-00082,ACC-00066,NovaCare,NovaCare - Annual Agreement,Closed Won,36000,USD,2024-12-20,2023-12-14,3,New Business,12,Emma Thompson,2024-12-20,100,,
OPP-00083,ACC-00067,Centric Health Solutions,Centric Health Solutions - Annual Agreement,Closed Won,43000,USD,2024-09-14,2023-08-26,10,New Business,12,Lisa Wang,2024-09-14,100,,
OPP-00084,ACC-00068,Pacific Health,Pacific Health - Annual Agreement,Closed Won,75000,USD,2024-06-15,2023-12-19,18,New Business,12,Sarah Chen,2024-06-15,100,,
OPP-00085,ACC-00069,MedBridge,MedBridge - Annual Agreement,Closed Won,57000,USD,2024-12-11,2023-06-26,9,New Business,12,David Kim,2024-12-11,100,,
OPP-00086,ACC-00023,Nebula Systems Inc.,Nebula Systems Inc. - Partner Deal (PTR-001),Closed Won,38000,USD,2024-09-29,2024-03-19,14,Expansion,12,Mike Rodriguez,2024-09-22,100,,PTR-001
OPP-00087,ACC-00024,Ironclad Sec,Ironclad Sec - Partner Deal (PTR-002),Proposal,87000,USD,2025-04-01,2024-03-30,10,New Business,12,David Kim,2025-04-01,40,Partner alignment call,PTR-002
OPP-00088,ACC-00025,ByteForge Inc.,ByteForge Inc. - Partner Deal (PTR-003),Closed Won,33000,USD,2023-11-15,2023-09-22,26,New Business,12,James Park,2023-11-15,100,,PTR-003
OPP-00089,ACC-00026,Datastream,Datastream - Partner Deal (PTR-004),Closed Won,30000,USD,2024-07-29,2024-01-20,35,New Business,12,James Park,2024-07-28,100,,PTR-004
OPP-00090,ACC-00027,CloudPeak,CloudPeak - Partner Deal (PTR-005),Closed Won,74000,USD,2024-12-21,2024-01-29,59,New Business,12,Sarah Chen,2024-12-14,100,,PTR-005
OPP-00091,ACC-00028,Silverline Technology,Silverline Technology - Partner Deal (PTR-001),Closed Won,96000,USD,2024-08-05,2024-05-20,42,New Business,12,Lisa Wang,2024-07-26,100,,PTR-001
OPP-00092,ACC-00029,Nextera,Nextera - Partner Deal (PTR-002),Closed Won,155000,USD,2024-12-28,2024-11-21,22,Expansion,12,Sarah Chen,2024-12-19,100,,PTR-002
OPP-00093,ACC-00030,CoreStack,CoreStack - Partner Deal (PTR-003),Closed Won,55000,USD,2024-02-24,2023-09-23,13,Expansion,12,James Park,2024-02-22,100,,PTR-003
OPP-00094,ACC-00031,Pulse Analytics Inc.,Pulse Analytics Inc. - Partner Deal (PTR-004),Closed Won,150000,USD,2025-01-08,2024-08-26,50,New Business,12,Sarah Chen,2024-12-31,100,,PTR-004
OPP-00095,ACC-00032,Arcus Tech,Arcus Tech - Partner Deal (PTR-005),Closed Won,109000,USD,2024-08-03,2023-11-06,8,Expansion,12,Mike Rodriguez,2024-07-31,100,,PTR-005
OPP-00096,ACC-00033,TerraForm,TerraForm - Partner Deal (PTR-001),Closed Won,161000,USD,2024-12-04,2024-08-07,53,Expansion,12,Mike Rodriguez,2024-12-01,100,,PTR-001
OPP-00097,ACC-00034,Vanta,Vanta - Partner Deal (PTR-002),Closed Won,174000,USD,2025-01-16,2024-11-30,49,New Business,12,Mike Rodriguez,2025-01-09,100,,PTR-002
OPP-00098,ACC-00035,Codex,Codex - Partner Deal (PTR-003),Closed Won,180000,USD,2024-09-04,2023-12-14,32,Expansion,12,Emma Thompson,2024-08-31,100,,PTR-003
OPP-00099,ACC-00036,Synthetix,Synthetix - Partner Deal (PTR-004),Closed Won,138000,USD,2024-12-27,2023-11-13,24,New Business,12,James Park,2024-12-17,100,,PTR-004
OPP-00100,ACC-00037,PixelWave Studios,PixelWave Studios - Partner Deal (PTR-005),Closed Won,32000,USD,2024-06-26,2024-01-22,30,Expansion,12,Mike Rodriguez,2024-06-24,100,,PTR-005
OPP-00101,ACC-00038,Alpine Data,Alpine Data - Partner Deal (PTR-001),Closed Won,106000,USD,2024-09-16,2024-08-12,42,New Business,12,Emma Thompson,2024-09-12,100,,PTR-001
OPP-00102,ACC-00039,Orbis Technology,Orbis Technology - Partner Deal (PTR-002),Closed Won,173000,USD,2024-11-30,2024-06-20,56,Expansion,12,James Park,2024-11-28,100,,PTR-002
OPP-00103,ACC-00040,NightOwl,NightOwl - Partner Deal (PTR-003),Closed Won,165000,USD,2023-12-31,2023-09-30,15,New Business,12,Emma Thompson,2023-12-24,100,,PTR-003
OPP-00104,ACC-00041,Kinetic Sys,Kinetic Sys - Partner Deal (PTR-004),Closed Won,96000,USD,2024-12-26,2024-10-09,31,Expansion,12,Lisa Wang,2024-12-23,100,,PTR-004
OPP-00105,ACC-00042,Zenith AI Corp,Zenith AI Corp - Partner Deal (PTR-005),Closed Won,91000,USD,2025-01-02,2024-09-06,51,Expansion,12,Lisa Wang,2025-01-02,100,,PTR-005
OPP-00106,ACC-00043,DragonCloud,DragonCloud - Partner Deal (PTR-001),Closed Won,111000,USD,2024-12-27,2024-03-29,33,New Business,12,Lisa Wang,2024-12-21,100,,PTR-001
OPP-00107,ACC-00044,SilkRoute,SilkRoute - Partner Deal (PTR-002),Closed Won,91000,USD,2024-10-11,2024-02-16,38,New Business,12,James Park,2024-10-01,100,,PTR-002
OPP-00108,ACC-00045,Aurora Technology,Aurora Technology - Partner Deal (PTR-003),Negotiation,139000,USD,2025-05-27,2024-01-07,24,Expansion,12,Emma Thompson,2025-05-23,70,Partner alignment call,PTR-003
OPP-00109,ACC-00046,Nuvola,Nuvola - Partner Deal (PTR-004),Closed Won,73000,USD,2024-08-27,2023-12-08,58,Expansion,12,Mike Rodriguez,2024-08-19,100,,PTR-004
OPP-00110,ACC-00047,DigitalBridge,DigitalBridge - Partner Deal (PTR-005),Negotiation,177000,USD,2025-05-30,2024-03-01,51,New Business,12,Sarah Chen,2025-05-27,70,Partner alignment call,PTR-005
OPP-00111,ACC-00040,NightOwl,NightOwl - Enterprise Deal,Closed Won,198000,USD,2024-12-17,2024-01-24,181,New Business,12,David Kim,2025-03-06,100,Budget re-approval,
OPP-00112,ACC-00041,Kinetic Sys,Kinetic Sys - Suite Subscription,Proposal,69000,USD,2024-09-14,2024-02-12,198,New Business,12,David Kim,2025-03-06,69,Pushed to next quarter,
OPP-00113,ACC-00042,Zenith AI Corp,Zenith AI Corp - Platform License,Proposal,195000,USD,2024-12-05,2023-02-07,112,Expansion,12,Mike Rodriguez,2025-02-26,53,Pushed to next quarter,
OPP-00114,ACC-00043,DragonCloud,DragonCloud - Enterprise Deal,Proposal,114000,USD,2024-08-24,2023-10-27,160,New Business,12,Emma Thompson,2025-02-03,55,Budget re-approval,
OPP-00115,ACC-00044,SilkRoute,SilkRoute - Platform License,Negotiation,91000,USD,2025-04-16,2023-07-26,130,New Business,12,Lisa Wang,2025-03-24,57,Waiting on exec sponsor,
OPP-00116,ACC-00045,Aurora Technology,Aurora Technology - Platform License,Negotiation,181000,USD,2024-06-19,2023-07-04,92,New Business,12,David Kim,2025-03-14,33,Pushed to next quarter,
OPP-00117,ACC-00046,Nuvola,Nuvola - Enterprise Deal,Proposal,82000,USD,2024-07-06,2023-08-10,113,Renewal,12,David Kim,2025-03-11,48,Timeline shifted,
OPP-00118,ACC-00047,DigitalBridge,DigitalBridge - Platform License,Proposal,106000,USD,2024-11-29,2023-12-08,190,Expansion,12,Sarah Chen,2025-03-23,70,Waiting on exec sponsor,
OPP-00119,ACC-00048,Cloud Vista Inc.,Cloud Vista Inc. - Enterprise Deal,Closed Won,139000,USD,2024-01-11,2023-06-11,191,New Business,12,Mike Rodriguez,2025-02-19,100,Timeline shifted,
OPP-00120,ACC-00049,Verdant Sys,Verdant Sys - Platform License,Proposal,55000,USD,2025-01-29,2023-09-09,181,Renewal,12,Mike Rodriguez,2025-03-17,46,Pushed to next quarter,
OPP-00121,ACC-00050,Helix,Helix - Enterprise Deal,Negotiation,197000,USD,2024-10-20,2023-03-18,133,New Business,12,Mike Rodriguez,2025-03-19,56,Waiting on exec sponsor,
OPP-00122,ACC-00051,Cirrus Logic,Cirrus Logic - Suite Subscription,Proposal,62000,USD,2024-08-17,2023-03-24,195,Renewal,12,Mike Rodriguez,2025-02-03,31,Timeline shifted,
OPP-00123,ACC-00052,DeepField,DeepField - Platform License,Negotiation,47000,USD,2025-05-29,2023-11-27,154,New Business,12,Emma Thompson,2025-01-31,70,Budget re-approval,
OPP-00124,ACC-00053,Lightspeed,Lightspeed - Suite Subscription,Closed Won,156000,USD,2024-10-21,2024-02-10,181,Expansion,12,Mike Rodriguez,2025-01-30,100,Pushed to next quarter,
OPP-00125,ACC-00054,OmniCore,OmniCore - Suite Subscription,Closed Won,59000,USD,2024-07-12,2023-10-26,182,Renewal,12,Emma Thompson,2025-02-12,100,Timeline shifted,
OPP-00126,ACC-00055,Flux Technology,Flux Technology - Enterprise Deal,Proposal,127000,USD,2024-05-23,2023-06-15,169,New Business,12,Emma Thompson,2025-02-06,36,Pushed to next quarter,
OPP-00127,ACC-00056,Sapient,Sapient - Suite Subscription,Proposal,175000,USD,2024-09-27,2024-02-03,239,Expansion,12,Mike Rodriguez,2025-02-02,37,Waiting on exec sponsor,
OPP-00128,ACC-00057,Wavelength,Wavelength - Enterprise Deal,Proposal,90000,USD,2024-03-03,2023-07-08,111,New Business,12,Mike Rodriguez,2025-02-02,31,Waiting on exec sponsor,
OPP-00129,ACC-00058,EdgePoint,EdgePoint - Suite Subscription,Proposal,88000,USD,2025-02-05,2023-01-31,230,New Business,12,Mike Rodriguez,2025-02-02,39,Timeline shifted,
OPP-00130,ACC-00059,Cortex Auto,Cortex Auto - Enterprise Deal,Proposal,146000,USD,2024-09-25,2024-02-12,183,New Business,12,Emma Thompson,2025-03-03,67,Timeline shifted,
OPP-00131,ACC-00001,Quantum Dynamics Inc.,Quantum Dynamics Inc. - Platform Subscription,Closed Won,105000,USD,2025-01-06,2024-04-02,34,New Business,12,Sarah Chen,2025-01-06,100,,
OPP-00132,ACC-00002,Meridian Health,Meridian Health - Contract Renewal,Closed Lost,88000,USD,2024-05-31,2024-03-16,37,Renewal,12,Lisa Wang,2024-05-31,0,,
OPP-00133,ACC-00003,Atlas Logistics,Atlas Logistics - Platform Subscription,Proposal,160000,USD,2025-08-13,2024-10-28,14,New Business,12,David Kim,2025-03-01,50,Contract negotiation,
OPP-00134,ACC-00004,Novatech,Novatech - Platform Subscription,Proposal,61000,USD,2025-10-18,2023-11-12,51,New Business,12,Sarah Chen,2025-03-06,50,,
OPP-00135,ACC-00005,Lumin Digital,Lumin Digital - Contract Renewal,Closed Lost,230000,USD,2024-12-04,2024-05-26,9,Renewal,12,Emma Thompson,2024-12-04,0,,
OPP-00136,ACC-00006,Clearview Analytics Inc.,Clearview Analytics Inc. - Module Add-on,Closed Lost,12000,USD,2024-04-09,2023-05-09,22,Expansion,12,David Kim,2024-04-09,0,,
OPP-00137,ACC-00007,Prism Software Solutions,Prism Software Solutions - Module Add-on,Closed Won,180000,EUR,2024-12-03,2023-10-23,25,Expansion,12,James Park,2024-12-03,100,,
OPP-00138,ACC-00008,Summit Financial Group,Summit Financial Group - New License,Closed Lost,99000,USD,2025-01-14,2024-09-15,24,New Business,12,David Kim,2025-01-14,0,,
OPP-00139,ACC-00009,Horizon Media Partners,Horizon Media Partners - New License,Closed Lost,151000,USD,2023-03-17,2022-06-20,34,New Business,12,James Park,2023-03-17,0,,
OPP-00140,ACC-00010,Vertex Engineering Ltd.,Vertex Engineering Ltd. - Seat Expansion,Closed Won,129000,USD,2024-01-09,2023-04-21,46,Expansion,12,Sarah Chen,2024-01-09,100,,
OPP-00141,ACC-00011,Stratos Cloud Services,Stratos Cloud Services - Contract Renewal,Closed Won,193000,USD,2024-11-29,2023-09-21,11,Renewal,12,Mike Rodriguez,2024-11-29,100,,
OPP-00142,ACC-00012,Pinnacle Retail Group,Pinnacle Retail Group - Contract Renewal,Closed Won,99000,USD,2023-12-09,2022-06-30,10,Renewal,12,Mike Rodriguez,2023-12-09,100,,
