payment_id,customer_id,customer_name,amount,currency,status,payment_date,subscription_id,description,failure_code,refund_id,dispute_id
pi_a1c0e7ad997be9,cus_4e95c3eae9443f,Pacific Wealth Partners,66,AUD,succeeded,2023-08-01,sub_369efcca5c,Monthly subscription - Starter Plan,,,
pi_ae0a092264af3d,cus_3fdcf6b3bb3868,Precision Dynamics Corp,68,USD,succeeded,2023-08-01,sub_928cb3fcc0,Monthly subscription - Starter Plan,,,
pi_b379943d9ccbc2,cus_d23233d42ad301,Kanto Mfg,66,JPY,succeeded,2023-08-01,sub_8c4c809c3a,Monthly subscription - Starter Plan,,,
pi_ca9165d9195917,cus_d228bb47ea4295,Lumina,60,USD,succeeded,2023-08-01,sub_01cc29df09,Monthly subscription - Starter Plan,,,
pi_b463f8b1a7d3c4,cus_ac3f0bdf7f4f53,Solaris,51,USD,succeeded,2023-08-01,sub_8c6ddc6466,Monthly subscription - Starter Plan,,,
pi_705a9bae488bb8,cus_61339e5e193c12,Novatech,61,USD,succeeded,2023-08-02,sub_5b2bbb711f,Monthly subscription - Starter Plan,,,dp_f801a
pi_751433d6b3aed5,cus_675db60f9af48a,Prism Software Solutions,51,USD,succeeded,2023-08-02,sub_9b1aca151b,Monthly subscription - Starter Plan,,,
pi_5a86d4c76ff336,cus_f88e876a7749d4,Ironclad Sec,66,USD,refunded,2023-08-02,sub_27caaeec6e,Monthly subscription - Starter Plan,,,
pi_bb721dc670c8a3,cus_8467288c9dd76f,Nextera,50,USD,succeeded,2023-08-02,sub_c6d2bdec89,Monthly subscription - Starter Plan,,,
pi_d04c1f4a302ab7,cus_afea4918a663f0,Pulse Analytics Inc.,53,USD,succeeded,2023-08-02,sub_5d05c93890,Monthly subscription - Starter Plan,,,
pi_c5e240bfe3fe5a,cus_0af1ed0232ce76,Zenith AI Corp,57,JPY,succeeded,2023-08-02,sub_31b0ff9670,Monthly subscription - Starter Plan,,,
pi_56745d5b017ecf,cus_b62736a32e44c9,DragonCloud,60,AUD,succeeded,2023-08-02,sub_08673992b8,Monthly subscription - Starter Plan,,,
pi_59e96a87351244,cus_03177a5b150677,Helix,49,USD,succeeded,2023-08-02,sub_daaf6f92c1,Monthly subscription - Starter Plan,,,
pi_aa8725a5b1ae8b,cus_d9fbf396c0c3d6,BioSync,52,USD,succeeded,2023-08-02,sub_6f2a477bb0,Monthly subscription - Starter Plan,,,
pi_2d09c1ee099dae,cus_23fcd751d708ae,Fidelity Bridge Inc.,67,USD,refunded,2023-08-02,sub_c6daeeeb23,Monthly subscription - Starter Plan,,,
pi_89fc441d23dbbd,cus_3c543e2cfb5971,EduNova Group,55,USD,succeeded,2023-08-02,sub_c23a9bafb0,Monthly subscription - Starter Plan,,,
pi_9266f4a093ced7,cus_54087ad7128ce3,Amplify,50,USD,succeeded,2023-08-02,sub_c9abd36e4c,Monthly subscription - Starter Plan,,,
pi_019f69ccbb29af,cus_45828f9300ba1f,Quantum Dynamics Inc.,63,USD,succeeded,2023-08-03,sub_995cb41c3d,Monthly subscription - Starter Plan,,,
pi_9977d2f7c94d1c,cus_8493bd819465d4,Meridian Health,66,USD,succeeded,2023-08-03,sub_325dd6bd3a,Monthly subscription - Starter Plan,,,
pi_7b121029dd25df,cus_d80d5ae55812c6,Lumin Digital,64,USD,succeeded,2023-08-03,sub_26db10a77a,Monthly subscription - Starter Plan,,,
pi_8bb0e39c513f6f,cus_656d3329f31406,Clearview Analytics Inc.,63,USD,failed,2023-08-03,sub_cd0cf8da28,Monthly subscription - Starter Plan,insufficient_funds,,
pi_195f8c35aeaa91,cus_fc7cb515172c3f,Horizon Media Partners,68,USD,succeeded,2023-08-03,sub_af2e369163,Monthly subscription - Starter Plan,,,
pi_67cf82a55f9a24,cus_a816a82c8aae85,Vertex Engineering Ltd.,54,USD,succeeded,2023-08-03,sub_efa3859148,Monthly subscription - Starter Plan,,,
pi_75b396eac680af,cus_92e54220d7077f,Pinnacle Retail Group,60,USD,succeeded,2023-08-03,sub_8778752b97,Monthly subscription - Starter Plan,,,
pi_ccde6efeea7344,cus_9020abd1d1f8d9,ByteForge Inc.,66,USD,succeeded,2023-08-03,sub_79bfcc835a,Monthly subscription - Starter Plan,,,
pi_b5463b9daa67fe,cus_da69f8f2ac6cd5,Datastream,66,USD,succeeded,2023-08-03,sub_082927fb5e,Monthly subscription - Starter Plan,,,
pi_a78816b7afc9c2,cus_d393f6b7110b8b,Kinetic Sys,69,AUD,succeeded,2023-08-03,sub_18a0b19d7a,Monthly subscription - Starter Plan,,,
pi_5eea0f07d8b7b8,cus_549285f1446fff,Cirrus Logic,68,USD,succeeded,2023-08-03,sub_514ae80358,Monthly subscription - Starter Plan,,,
pi_0624e581553337,cus_7fb8d86cdb7ad4,Sapient,66,USD,failed,2023-08-03,sub_392d0da389,Monthly subscription - Starter Plan,expired_card,,
pi_803a3e16028769,cus_8e93322e1dfccd,Vitality Health,58,USD,succeeded,2023-08-03,sub_ffa4dfa4d8,Monthly subscription - Starter Plan,,,
pi_b7ea5a28f38474,cus_2546a13062823d,MedBridge,66,AUD,succeeded,2023-08-03,sub_e3d9a890b3,Monthly subscription - Starter Plan,,,
pi_60ca36f5ff4b34,cus_c34f1493b1fb89,Steelbridge,65,USD,succeeded,2023-08-03,sub_e9a23b0810,Monthly subscription - Starter Plan,,,
pi_b5c3b61ae62765,cus_04a8cee6eac471,Spectrum,50,USD,succeeded,2023-08-03,sub_d05167c2a4,Monthly subscription - Starter Plan,,,
pi_a601daae5ad266,cus_b7b9e7fc99ae5a,Vanguard,68,USD,succeeded,2023-08-03,sub_5de6d7f0b9,Monthly subscription - Starter Plan,,,
pi_c9bcb4b8c1fad9,cus_2121d650de2061,Stratos Cloud Services,66,USD,succeeded,2023-08-04,sub_7af8bfbb0a,Monthly subscription - Starter Plan,,,
pi_2c3efbb701038e,cus_fa516f48fe8eac,CloudPeak,58,USD,succeeded,2023-08-04,sub_16b99e0951,Monthly subscription - Starter Plan,,,
pi_e84de04d67cceb,cus_28d165c6bb7575,CoreStack,62,USD,succeeded,2023-08-04,sub_7e69aa118c,Monthly subscription - Starter Plan,,,
pi_0c6fa863ab3b00,cus_1fce00a7160523,TerraForm,50,USD,succeeded,2023-08-04,sub_5835f65a6f,Monthly subscription - Starter Plan,,,
pi_ee421d14d7ff87,cus_ca46d5c407c864,Codex,66,USD,succeeded,2023-08-04,sub_d3d6ccf329,Monthly subscription - Starter Plan,,,
pi_e417d2b451f503,cus_03b63c8ec36c89,Aurora Technology,53,JPY,succeeded,2023-08-04,sub_b2d72b2ada,Monthly subscription - Starter Plan,,,
pi_ee85ada1a9d6da,cus_4bdda14d2d6aa7,Cortex Auto,56,USD,succeeded,2023-08-04,sub_1867a8071b,Monthly subscription - Starter Plan,,,
pi_611953aa501d64,cus_5dbb4a611e9145,Retail Edge Corp,55,USD,succeeded,2023-08-04,sub_c76073fe72,Monthly subscription - Starter Plan,,,
pi_634832c3888e46,cus_8bccfb746f547d,Pacific Mart,54,JPY,succeeded,2023-08-04,sub_71571c1ef5,Monthly subscription - Starter Plan,,,
pi_4d2e1d8f32d7b8,cus_54403fe2e35a9c,Renewable Dyn.,60,USD,succeeded,2023-08-04,sub_a6d0056d24,Monthly subscription - Starter Plan,,,
pi_45b356318335a3,cus_7fb8d86cdb7ad4,Sapient,66,USD,succeeded,2023-08-04,sub_392d0da389,Monthly subscription - Starter Plan,,,
pi_7f7161202b6ee0,cus_fb1bef5252b66f,Atlas Logistics,54,USD,succeeded,2023-08-05,sub_de6d830fb3,Monthly subscription - Starter Plan,,,
pi_8a8ab13f56a8d9,cus_7c6020d8856b60,Summit Financial Group,54,USD,succeeded,2023-08-05,sub_91118757bc,Monthly subscription - Starter Plan,,,
pi_a0b57ec6f9540a,cus_20a9a2d72c1646,Redwood Mfg Corp,67,USD,succeeded,2023-08-05,sub_e620412cfa,Monthly subscription - Starter Plan,,,
pi_709390ee69cc27,cus_49f892848d5506,Alpine Data,53,USD,succeeded,2023-08-05,sub_1df0c5b2ab,Monthly subscription - Starter Plan,,,
pi_dd59081c79c226,cus_486ef83cac3666,Orbis Technology,68,USD,succeeded,2023-08-05,sub_f8c19d5820,Monthly subscription - Starter Plan,,,
pi_2985e8607a443f,cus_a4bfb38cd70160,DigitalBridge,60,USD,succeeded,2023-08-05,sub_0e67e24c5e,Monthly subscription - Starter Plan,,,
pi_fa53dbafa4db81,cus_53aa5eb0f9eb6e,HealthGrid Inc.,53,USD,refunded,2023-08-05,sub_7d5a6231b7,Monthly subscription - Starter Plan,,,
pi_322534fc1ceaee,cus_3c018223c50af7,TrueHealth,60,USD,succeeded,2023-08-05,sub_f4ee1e5c39,Monthly subscription - Starter Plan,,,
pi_85ba7596e8deb6,cus_25d8df1093fb4a,LatAm Financial Services,69,USD,succeeded,2023-08-05,sub_1e544494fa,Monthly subscription - Starter Plan,,,
pi_82ef88d2545553,cus_ef28b4e49fb1c9,Forge Ind.,68,USD,succeeded,2023-08-05,sub_6c7e49c596,Monthly subscription - Starter Plan,,,
pi_3b290c8d2fa7f8,cus_085ba87bc5cb47,Titan Mfg,58,USD,succeeded,2023-08-05,sub_39c2e6dbd6,Monthly subscription - Starter Plan,,,
pi_a3696afca554c3,cus_8243ef070cc09c,Andean Mfg,67,USD,succeeded,2023-08-05,sub_143c9dee5a,Monthly subscription - Starter Plan,,,
pi_a811de95c665e0,cus_bcd1a48ba09bfc,Stratton,61,USD,succeeded,2023-08-05,sub_4e048165b8,Monthly subscription - Starter Plan,,,
pi_24ab4616e03649,cus_f88e876a7749d4,Ironclad Sec,-66,USD,refunded,2023-08-06,sub_27caaeec6e,Refund for pi_5a86d4c76ff336,,re_421b4fb158,
pi_f999713ee07e08,cus_656d3329f31406,Clearview Analytics Inc.,63,USD,succeeded,2023-08-07,sub_cd0cf8da28,Monthly subscription - Starter Plan,,,
pi_52bbab9dcc0210,cus_4bdda14d2d6aa7,Cortex Auto,56,USD,refunded,2023-08-12,sub_1867a8071b,Refund for payment pi_ee85ada1a9d6da,,re_c28d768204,
pi_a63e1b8ca9cf98,cus_53aa5eb0f9eb6e,HealthGrid Inc.,-53,USD,refunded,2023-08-15,sub_7d5a6231b7,Refund for pi_fa53dbafa4db81,,re_fa4ba30165,
pi_3db51b21becbca,cus_45828f9300ba1f,Quantum Dynamics Inc.,63,USD,refunded,2023-08-17,sub_995cb41c3d,Refund for payment pi_019f69ccbb29af,,re_e86ab14dbe,
pi_3c3763b24db129,cus_23fcd751d708ae,Fidelity Bridge Inc.,-67,USD,refunded,2023-08-31,sub_c6daeeeb23,Refund for pi_2d09c1ee099dae,,re_9b628a27f9,
pi_ce537706d81888,cus_656d3329f31406,Clearview Analytics Inc.,63,USD,succeeded,2023-09-01,sub_cd0cf8da28,Monthly subscription - Starter Plan,,,
pi_ab96489236b1fb,cus_28d165c6bb7575,CoreStack,62,USD,succeeded,2023-09-01,sub_7e69aa118c,Monthly subscription - Starter Plan,,,
pi_56aebdb4f6031d,cus_afea4918a663f0,Pulse Analytics Inc.,53,USD,succeeded,2023-09-01,sub_5d05c93890,Monthly subscription - Starter Plan,,,
pi_54a55b0ed8b5a2,cus_49f892848d5506,Alpine Data,53,USD,succeeded,2023-09-01,sub_1df0c5b2ab,Monthly subscription - Starter Plan,,,
pi_cac630447e04b5,cus_0af1ed0232ce76,Zenith AI Corp,57,JPY,succeeded,2023-09-01,sub_31b0ff9670,Monthly subscription - Starter Plan,,,
pi_39873ea0bcefec,cus_53aa5eb0f9eb6e,HealthGrid Inc.,53,USD,succeeded,2023-09-01,sub_7d5a6231b7,Monthly subscription - Starter Plan,,,
pi_c0702707f6ca34,cus_5dbb4a611e9145,Retail Edge Corp,55,USD,succeeded,2023-09-01,sub_c76073fe72,Monthly subscription - Starter Plan,,,
pi_98dd8d95e75885,cus_54403fe2e35a9c,Renewable Dyn.,60,USD,succeeded,2023-09-01,sub_a6d0056d24,Monthly subscription - Starter Plan,,,
pi_80c6d11521a4e2,cus_fc7cb515172c3f,Horizon Media Partners,68,USD,succeeded,2023-09-02,sub_af2e369163,Monthly subscription - Starter Plan,,,
pi_0753cf9e2ba83d,cus_92e54220d7077f,Pinnacle Retail Group,60,USD,succeeded,2023-09-02,sub_8778752b97,Monthly subscription - Starter Plan,,,
pi_64c06fa500d06c,cus_fa516f48fe8eac,CloudPeak,58,USD,succeeded,2023-09-02,sub_16b99e0951,Monthly subscription - Starter Plan,,,
pi_d30ee7ab972f39,cus_ca46d5c407c864,Codex,66,USD,succeeded,2023-09-02,sub_d3d6ccf329,Monthly subscription - Starter Plan,,,
pi_673f8b0a0a0dfe,cus_03b63c8ec36c89,Aurora Technology,53,JPY,succeeded,2023-09-02,sub_b2d72b2ada,Monthly subscription - Starter Plan,,,
pi_e7ac5675eef4ac,cus_8e93322e1dfccd,Vitality Health,58,USD,succeeded,2023-09-02,sub_ffa4dfa4d8,Monthly subscription - Starter Plan,,,
pi_954285785a2fbf,cus_af6f3ae811966c,Moneta,49,USD,succeeded,2023-09-02,sub_b7dee5269c,Monthly subscription - Starter Plan,,,
pi_7158f2435b4b7d,cus_4e95c3eae9443f,Pacific Wealth Partners,66,AUD,succeeded,2023-09-02,sub_369efcca5c,Monthly subscription - Starter Plan,,,
pi_6fad981b1cdf5a,cus_8243ef070cc09c,Andean Mfg,67,USD,succeeded,2023-09-02,sub_143c9dee5a,Monthly subscription - Starter Plan,,,
pi_699858505f10d2,cus_3753939a4f97d8,AcademiQ Solutions,62,AUD,succeeded,2023-09-02,sub_700c2ec393,Monthly subscription - Starter Plan,,,
pi_23955634fef34a,cus_d228bb47ea4295,Lumina,60,USD,succeeded,2023-09-02,sub_01cc29df09,Monthly subscription - Starter Plan,,,
pi_a9d4440c86123a,cus_bcd1a48ba09bfc,Stratton,61,USD,succeeded,2023-09-02,sub_4e048165b8,Monthly subscription - Starter Plan,,,
pi_2380f8b105f8d8,cus_45828f9300ba1f,Quantum Dynamics Inc.,63,USD,succeeded,2023-09-03,sub_995cb41c3d,Monthly subscription - Starter Plan,,,
pi_679728d7c35a22,cus_675db60f9af48a,Prism Software Solutions,51,USD,succeeded,2023-09-03,sub_9b1aca151b,Monthly subscription - Starter Plan,,,
pi_8df0cd47b95119,cus_2121d650de2061,Stratos Cloud Services,66,USD,succeeded,2023-09-03,sub_7af8bfbb0a,Monthly subscription - Starter Plan,,,
pi_864c09c3a8e063,cus_8e965c4a5a1ff7,Catalyst Innovation Labs,57,JPY,succeeded,2023-09-03,sub_120663e046,Monthly subscription - Starter Plan,,,
pi_9b9fdb2d7db3a9,cus_f88e876a7749d4,Ironclad Sec,66,USD,succeeded,2023-09-03,sub_27caaeec6e,Monthly subscription - Starter Plan,,,
pi_88365363eec5f2,cus_8467288c9dd76f,Nextera,50,USD,succeeded,2023-09-03,sub_c6d2bdec89,Monthly subscription - Starter Plan,,,
pi_5fb161385eb2db,cus_d393f6b7110b8b,Kinetic Sys,69,AUD,succeeded,2023-09-03,sub_18a0b19d7a,Monthly subscription - Starter Plan,,,
pi_7febe4c1952597,cus_b62736a32e44c9,DragonCloud,60,AUD,succeeded,2023-09-03,sub_08673992b8,Monthly subscription - Starter Plan,,,
pi_1a84d30cc20d6c,cus_03177a5b150677,Helix,49,USD,succeeded,2023-09-03,sub_daaf6f92c1,Monthly subscription - Starter Plan,,,
pi_296fb36381d5b0,cus_549285f1446fff,Cirrus Logic,68,USD,succeeded,2023-09-03,sub_514ae80358,Monthly subscription - Starter Plan,,,
pi_a4c435a5d91c51,cus_7fb8d86cdb7ad4,Sapient,66,USD,succeeded,2023-09-03,sub_392d0da389,Monthly subscription - Starter Plan,,,
pi_46c5f97edc2d0e,cus_2546a13062823d,MedBridge,66,AUD,succeeded,2023-09-03,sub_e3d9a890b3,Monthly subscription - Starter Plan,,,
pi_af9f439ae299a1,cus_23fcd751d708ae,Fidelity Bridge Inc.,67,USD,succeeded,2023-09-03,sub_c6daeeeb23,Monthly subscription - Starter Plan,,,
pi_51ab269322c898,cus_425a23857e9b77,BankTech,51,USD,succeeded,2023-09-03,sub_daa8ac401c,Monthly subscription - Starter Plan,,,
pi_2bc0deb530d233,cus_085ba87bc5cb47,Titan Mfg,58,USD,succeeded,2023-09-03,sub_39c2e6dbd6,Monthly subscription - Starter Plan,,,
pi_f077c008686a5d,cus_d23233d42ad301,Kanto Mfg,66,JPY,succeeded,2023-09-03,sub_8c4c809c3a,Monthly subscription - Starter Plan,,,
pi_515480c32c2fd6,cus_8493bd819465d4,Meridian Health,66,USD,succeeded,2023-09-04,sub_325dd6bd3a,Monthly subscription - Starter Plan,,,
pi_ce9a337375ce31,cus_20a9a2d72c1646,Redwood Mfg Corp,67,USD,succeeded,2023-09-04,sub_e620412cfa,Monthly subscription - Starter Plan,,,
pi_861c527f6712aa,cus_9020abd1d1f8d9,ByteForge Inc.,66,USD,succeeded,2023-09-04,sub_79bfcc835a,Monthly subscription - Starter Plan,,,
pi_c0958f5e10e462,cus_1fce00a7160523,TerraForm,50,USD,succeeded,2023-09-04,sub_5835f65a6f,Monthly subscription - Starter Plan,,,
pi_dafa03525b83e6,cus_a4bfb38cd70160,DigitalBridge,60,USD,succeeded,2023-09-04,sub_0e67e24c5e,Monthly subscription - Starter Plan,,,
pi_0e277f4f007bbf,cus_0c2c7b64957917,Verdant Sys,57,USD,succeeded,2023-09-04,sub_f4dc3e34f6,Monthly subscription - Starter Plan,,,
pi_78416b5e8e06ab,cus_4bdda14d2d6aa7,Cortex Auto,56,USD,succeeded,2023-09-04,sub_1867a8071b,Monthly subscription - Starter Plan,,,
pi_0c778d398491fb,cus_d9fbf396c0c3d6,BioSync,52,USD,succeeded,2023-09-04,sub_6f2a477bb0,Monthly subscription - Starter Plan,,,
pi_842df839e99312,cus_e0e16b0264d295,Pacific Health,53,JPY,succeeded,2023-09-04,sub_112236cdfd,Monthly subscription - Starter Plan,,,
pi_f2b6b9aeb5652e,cus_3c018223c50af7,TrueHealth,60,USD,succeeded,2023-09-04,sub_f4ee1e5c39,Monthly subscription - Starter Plan,,,
pi_964da4fc27367d,cus_8012243767b881,PulsePoint,2388,USD,succeeded,2023-09-04,sub_a766b47cb7,Annual subscription - Growth Plan,,,
pi_e702fc29aaf589,cus_ef28b4e49fb1c9,Forge Ind.,68,USD,succeeded,2023-09-04,sub_6c7e49c596,Monthly subscription - Starter Plan,,,
pi_9d5398b42727ed,cus_3fdcf6b3bb3868,Precision Dynamics Corp,68,USD,succeeded,2023-09-04,sub_928cb3fcc0,Monthly subscription - Starter Plan,,,
pi_0980290a068ef7,cus_c34f1493b1fb89,Steelbridge,65,USD,succeeded,2023-09-04,sub_e9a23b0810,Monthly subscription - Starter Plan,,,
pi_0d2a28fc0cb2a8,cus_3c543e2cfb5971,EduNova Group,55,USD,succeeded,2023-09-04,sub_c23a9bafb0,Monthly subscription - Starter Plan,,,
pi_978e91fb083ca8,cus_b7b9e7fc99ae5a,Vanguard,68,USD,succeeded,2023-09-04,sub_5de6d7f0b9,Monthly subscription - Starter Plan,,,
pi_11c6ed4c8eb527,cus_45828f9300ba1f,Quantum Dynamics Inc.,63,USD,refunded,2023-09-04,sub_995cb41c3d,Refund for payment pi_2380f8b105f8d8,,re_79aebe6e90,
pi_130b31e0a892f5,cus_fb1bef5252b66f,Atlas Logistics,54,USD,succeeded,2023-09-05,sub_de6d830fb3,Monthly subscription - Starter Plan,,,
pi_9a63c3fe09bd00,cus_61339e5e193c12,Novatech,61,USD,succeeded,2023-09-05,sub_5b2bbb711f,Monthly subscription - Starter Plan,,,
pi_1d50eff5926742,cus_d80d5ae55812c6,Lumin Digital,64,USD,succeeded,2023-09-05,sub_26db10a77a,Monthly subscription - Starter Plan,,,
