ticket_id,account_id,account_name,subject,category,priority,status,created_at,resolved_at,csat_score,agent_name,escalated,tags
TKT-00015,ACC-00086,Titan Mfg,Search is extremely slow,Performance,Medium,open,2024-04-02T14:59:31Z,,,Sam Patel,false,"performance|export"
TKT-00016,ACC-00024,IRONCLAD SECURITY,Request: API rate limit increase,Feature Request,High,pending,2024-04-02T20:08:02Z,,,Sam Patel,false,"feature|mobile|follow-up"
TKT-00017,ACC-00100,Nordic Shops AB,Real-time updates are delayed,Performance,Critical,resolved,2024-04-02T20:42:52Z,2024-04-03T18:42:52Z,4,Sam Patel,false,"performance|dashboard"
TKT-00018,ACC-00041,Kinetic Sys,Need consolidated invoice for multiple accounts,Billing,Medium,resolved,2024-04-02T22:48:38Z,2024-04-05T00:48:38Z,,Alex Rivera,false,"billing|cancellation"
TKT-00019,ACC-00107,LEARNSPHERE,Browser crashes on large datasets,Bug,High,resolved,2024-04-02T23:13:53Z,2024-04-06T17:13:53Z,2,Alex Rivera,false,"bug|charts"
TKT-00020,ACC-00116,Renewable Dyn.,Google Sheets integration error,Integration,Critical,resolved,2024-04-03T10:36:58Z,2024-04-03T16:36:58Z,5,Alex Rivera,false,"integration|zapier"
TKT-00021,ACC-00088,Steelbridge,Need role-based access controls,Feature Request,High,resolved,2024-04-03T16:09:08Z,2024-04-04T23:09:08Z,1,Taylor Chen,false,"feature|ui|recurring"
TKT-00022,ACC-00083,LatAm Financial Services,Need webhook support for events,Feature Request,Medium,resolved,2024-04-03T16:48:54Z,2024-04-06T21:48:54Z,5,Casey Wu,false,"feature|api|recurring"
TKT-00023,ACC-00074,PULSEPOINT HEALTH,Need webhook support for events,Feature Request,Low,pending,2024-04-03T22:17:03Z,,,Morgan Kim,false,"feature|api"
TKT-00024,ACC-00055,FLUXTECH,Need walkthrough of admin panel,Onboarding,Medium,open,2024-04-04T09:59:58Z,,,Taylor Chen,false,"onboarding|migration"
TKT-00025,ACC-00066,NOVACARE DIAGNOSTICS,Notification emails not being sent,Bug,Critical,resolved,2024-04-04T11:22:25Z,2024-04-06T05:22:25Z,,Alex Rivera,false,"bug|login"
TKT-00026,ACC-00106,BRIGHT MINDS ACADEMY,API returns 500 errors,Integration,Medium,resolved,2024-04-04T13:25:23Z,2024-04-05T03:25:23Z,4,Casey Wu,false,"integration|webhook|escalated"
TKT-00027,ACC-00103,MERCADO ONLINE,Drag-and-drop not working in Firefox,Bug,Medium,pending,2024-04-04T22:39:02Z,,,Sam Patel,false,"bug|permissions|recurring"
TKT-00028,ACC-00069,MedBridge,Dark mode support request,Feature Request,Medium,pending,2024-04-04T23:21:03Z,,,Casey Wu,false,"feature|branding|recurring"
TKT-00029,ACC-00058,EdgePoint,Query timeout on analytics page,Performance,High,resolved,2024-04-04T23:24:31Z,2024-04-09T14:24:31Z,2,Morgan Kim,false,"performance|memory"
TKT-00030,ACC-00046,NUVOLA SRL,Rate limit hit on batch operations,Integration,Low,open,2024-04-04T23:26:15Z,,,Jordan Lee,true,"integration|sync"
TKT-00031,ACC-00078,BankTech,Date picker shows wrong timezone,Bug,Low,resolved,2024-04-05T06:02:19Z,2024-04-09T17:02:19Z,,Morgan Kim,false,"bug|search"
TKT-00032,ACC-00111,Spectrum,Error 500 when saving settings,Bug,High,pending,2024-04-05T06:19:40Z,,,Jordan Lee,false,"bug|ui"
TKT-00033,ACC-00027,CloudPeak,User permissions not applying correctly,Bug,Medium,open,2024-04-05T08:42:59Z,,,Sam Patel,false,"bug|permissions"
TKT-00034,ACC-00085,Forge Ind.,Need bulk export feature,Feature Request,Medium,open,2024-04-05T10:31:21Z,,,Alex Rivera,false,"feature|branding"
TKT-00035,ACC-00046,NUVOLA SRL,SFTP export connection refused,Integration,High,open,2024-04-05T13:52:28Z,,,Jordan Lee,false,"integration|jira|escalated"
TKT-00036,ACC-00082,FINOVA GROUP,Help configuring SSO for first time,Onboarding,High,resolved,2024-04-05T22:50:20Z,2024-04-10T23:50:20Z,3,Sam Patel,false,"onboarding|setup"
TKT-00037,ACC-00068,Pacific Health,API latency issues,Performance,Medium,resolved,2024-04-06T11:26:24Z,2024-04-06T17:26:24Z,3,Casey Wu,false,"performance|query"
TKT-00038,ACC-00066,NOVACARE DIAGNOSTICS,Custom integration webhook format changed,Integration,Medium,resolved,2024-04-06T12:55:26Z,2024-04-06T21:55:26Z,1,Jordan Lee,false,"integration|zapier|new-customer"
TKT-00039,ACC-00079,Moneta,Custom dashboard widgets,Feature Request,Low,pending,2024-04-06T18:28:03Z,,,Jordan Lee,false,"feature|mobile"
TKT-00040,ACC-00045,AURORATECH,Best practices for our use case,Onboarding,High,pending,2024-04-07T03:17:27Z,,,Alex Rivera,false,"onboarding|setup"
TKT-00041,ACC-00069,MedBridge,Data migration from competitor product,Onboarding,Low,resolved,2024-04-07T03:54:43Z,2024-04-07T08:54:43Z,4,Casey Wu,false,"onboarding|import"
TKT-00042,ACC-00062,Vitality Health,API pagination returning duplicates,Integration,Medium,resolved,2024-04-07T04:55:23Z,2024-04-08T02:55:23Z,,Sam Patel,false,"integration|sync"
TKT-00043,ACC-00042,ZENITHAI,Multi-language support request,Feature Request,Medium,resolved,2024-04-07T16:10:09Z,2024-04-11T05:10:09Z,,Alex Rivera,false,"feature|export|urgent"
TKT-00044,ACC-00080,FORTIS CAPITAL AG,Drag-and-drop not working in Firefox,Bug,Medium,closed,2024-04-07T23:05:17Z,2024-04-09T19:05:17Z,2,Alex Rivera,false,"bug|ui"
TKT-00045,ACC-00071,TRUEHEALTH CORP,Custom report builder feature,Feature Request,Medium,pending,2024-04-08T07:33:41Z,,,Taylor Chen,false,"feature|mobile|enterprise"
TKT-00046,ACC-00109,EduNova Group,Need security whitepaper,Security,Low,open,2024-04-08T08:51:26Z,,,Sam Patel,false,"security|compliance"
TKT-00047,ACC-00096,ShopStream Inc.,SSO integration needed,Feature Request,High,resolved,2024-04-08T10:33:00Z,2024-04-09T00:33:00Z,1,Jordan Lee,false,"feature|reporting|escalated"
TKT-00048,ACC-00109,EduNova Group,Google Sheets integration error,Integration,Medium,open,2024-04-08T10:56:38Z,,,Taylor Chen,false,"integration|salesforce"
TKT-00049,ACC-00103,MERCADO ONLINE,SSO integration needed,Feature Request,Medium,resolved,2024-04-08T14:28:32Z,2024-04-11T04:28:32Z,1,Casey Wu,true,"feature|reporting"
TKT-00050,ACC-00073,Genome,Charge appeared after cancellation,Billing,Low,open,2024-04-08T16:54:25Z,,,Alex Rivera,false,"billing|payment"
TKT-00051,ACC-00092,Pacifica Ind,Date picker shows wrong timezone,Bug,High,resolved,2024-04-08T17:11:27Z,2024-04-08T23:11:27Z,,Morgan Kim,true,"bug|notifications"
TKT-00052,ACC-00068,Pacific Health,Request: scheduled report delivery,Feature Request,High,open,2024-04-08T20:30:05Z,,,Jordan Lee,false,"feature|ui|follow-up"
TKT-00053,ACC-00094,Ironworks,Request: API rate limit increase,Feature Request,Low,resolved,2024-04-09T08:24:20Z,2024-04-13T14:24:20Z,1,Taylor Chen,false,"feature|ui"
TKT-00054,ACC-00105,EDUPATH,Need webhook support for events,Feature Request,Critical,open,2024-04-09T11:37:31Z,,,Sam Patel,false,"feature|automation|recurring"
TKT-00055,ACC-00026,Datastream,Need consolidated invoice for multiple accounts,Billing,High,resolved,2024-04-09T13:52:02Z,2024-04-09T19:52:02Z,3,Casey Wu,false,"billing|payment|follow-up"
TKT-00056,ACC-00085,Forge Ind.,Query timeout on analytics page,Performance,Low,closed,2024-04-09T14:23:42Z,2024-04-09T23:23:42Z,4,Alex Rivera,false,"performance|query|enterprise"
TKT-00057,ACC-00088,Steelbridge,HubSpot connector timeout,Integration,Low,resolved,2024-04-09T15:38:33Z,2024-04-12T23:38:33Z,4,Sam Patel,false,"integration|api"
TKT-00058,ACC-00092,Pacifica Ind,Request: scheduled report delivery,Feature Request,Low,open,2024-04-09T19:25:09Z,,,Sam Patel,false,"feature|reporting|escalated"
TKT-00059,ACC-00117,Stratton,Need to change billing contact,Billing,Medium,resolved,2024-04-10T00:06:09Z,2024-04-11T03:06:09Z,4,Sam Patel,true,"billing|refund|follow-up"
TKT-00060,ACC-00112,LUMINA BROADCASTING,Receipt not received for last payment,Billing,High,resolved,2024-04-10T06:00:28Z,2024-04-15T20:00:28Z,5,Taylor Chen,false,"billing|overcharge|escalated"
TKT-00061,ACC-00085,Forge Ind.,Broken pagination in reports,Bug,High,resolved,2024-04-10T08:21:43Z,2024-04-10T13:21:43Z,1,Morgan Kim,false,"bug|export|escalated"
TKT-00062,ACC-00102,BAZAARTECH,Need walkthrough of admin panel,Onboarding,Critical,resolved,2024-04-10T12:02:24Z,2024-04-10T17:02:24Z,4,Morgan Kim,false,"onboarding|training|urgent"
TKT-00063,ACC-00089,EUROFORGE GMBH,PDF export formatting broken,Bug,Low,resolved,2024-04-10T15:51:48Z,2024-04-16T03:51:48Z,5,Jordan Lee,false,"bug|mobile"
TKT-00064,ACC-00048,Cloud Vista Inc.,Training request for new users,Onboarding,High,open,2024-04-10T16:18:52Z,,,Alex Rivera,false,"onboarding|slow"
TKT-00065,ACC-00089,EUROFORGE GMBH,Invoice discrepancy,Billing,Low,resolved,2024-04-10T16:47:18Z,2024-04-12T08:47:18Z,1,Sam Patel,false,"billing|pricing"
TKT-00066,ACC-00079,Moneta,File upload fails for CSV files,Bug,Medium,resolved,2024-04-10T17:13:59Z,2024-04-15T00:13:59Z,5,Morgan Kim,false,"bug|ui"
TKT-00067,ACC-00113,RISING SUN MEDIA,Need audit log improvements,Feature Request,Low,resolved,2024-04-11T00:19:04Z,2024-04-11T11:19:04Z,1,Morgan Kim,false,"feature|mobile"
TKT-00068,ACC-00069,MedBridge,Mobile view layout issues,Bug,Low,resolved,2024-04-11T02:22:56Z,2024-04-14T02:22:56Z,3,Alex Rivera,false,"bug|backend"
TKT-00069,ACC-00055,FLUXTECH,User permissions not applying correctly,Bug,Low,resolved,2024-04-11T06:36:57Z,2024-04-11T23:36:57Z,1,Alex Rivera,false,"bug|permissions"
TKT-00070,ACC-00049,Verdant Sys,User permissions not applying correctly,Bug,Medium,closed,2024-04-11T07:48:04Z,2024-04-14T22:48:04Z,,Jordan Lee,true,"bug|mobile"
TKT-00071,ACC-00118,VANGUARD ADVISORY,PDF export formatting broken,Bug,Low,closed,2024-04-11T11:00:38Z,2024-04-15T17:00:38Z,4,Sam Patel,true,"bug|critical"
TKT-00072,ACC-00066,NOVACARE DIAGNOSTICS,Receipt not received for last payment,Billing,High,pending,2024-04-11T11:12:39Z,,,Sam Patel,false,"billing|discrepancy"
TKT-00073,ACC-00035,Codex,Zapier integration broken,Integration,Medium,pending,2024-04-11T12:54:59Z,,,Taylor Chen,false,"integration|api|urgent"
TKT-00074,ACC-00033,TERRAFORM LABS,Need walkthrough of admin panel,Onboarding,Low,resolved,2024-04-11T16:06:25Z,2024-04-12T01:06:25Z,2,Alex Rivera,false,"onboarding|training"
TKT-00075,ACC-00042,ZENITHAI,Refund request for downgrade,Billing,Medium,pending,2024-04-11T18:31:03Z,,,Morgan Kim,true,"billing|refund"
TKT-00076,ACC-00046,NUVOLA SRL,File upload fails for CSV files,Bug,Medium,resolved,2024-04-11T21:08:28Z,2024-04-13T20:08:28Z,5,Sam Patel,true,"bug|notifications"
TKT-00077,ACC-00049,Verdant Sys,Need role-based access controls,Feature Request,Medium,pending,2024-04-11T22:41:34Z,,,Morgan Kim,false,"feature|branding"
TKT-00078,ACC-00085,Forge Ind.,Billing cycle confusion,Billing,Medium,pending,2024-04-12T06:40:20Z,,,Alex Rivera,false,"billing|discrepancy|escalated"
TKT-00079,ACC-00103,MERCADO ONLINE,Question about prorated charges,Billing,Medium,resolved,2024-04-12T06:44:25Z,2024-04-17T01:44:25Z,4,Taylor Chen,false,"billing|payment"
TKT-00080,ACC-00027,CloudPeak,Currency conversion question,Billing,Medium,open,2024-04-12T07:19:52Z,,,Casey Wu,false,"billing|urgent"
TKT-00081,ACC-00110,AMPLIFY MEDIA,Export fails with timeout,Bug,Critical,resolved,2024-04-12T10:08:16Z,2024-04-13T00:08:16Z,2,Jordan Lee,false,"bug|search"
TKT-00082,ACC-00082,FINOVA GROUP,Question about annual pricing,Billing,High,resolved,2024-04-12T11:49:46Z,2024-04-12T18:49:46Z,2,Casey Wu,false,"billing|cancellation"
TKT-00083,ACC-00038,Alpine Data,Custom report builder feature,Feature Request,Low,resolved,2024-04-12T14:33:24Z,2024-04-14T09:33:24Z,1,Casey Wu,false,"feature|ui|recurring"
TKT-00084,ACC-00068,Pacific Health,Mobile view layout issues,Bug,Medium,resolved,2024-04-12T15:58:28Z,2024-04-13T02:58:28Z,2,Alex Rivera,false,"bug|notifications"
TKT-00085,ACC-00088,Steelbridge,Keyboard shortcuts stopped working,Bug,Medium,pending,2024-04-12T16:46:46Z,,,Jordan Lee,true,"bug|search"
TKT-00086,ACC-00068,Pacific Health,Memory usage spikes during import,Performance,Medium,closed,2024-04-12T17:00:18Z,2024-04-17T03:00:18Z,1,Jordan Lee,false,"performance|bulk"
TKT-00087,ACC-00048,Cloud Vista Inc.,Custom dashboard widgets,Feature Request,Critical,pending,2024-04-12T17:09:22Z,,,Casey Wu,false,"feature|rbac|follow-up"
TKT-00088,ACC-00054,OMNICORE LABS,Concurrent user performance degradation,Performance,Low,closed,2024-04-12T17:51:22Z,2024-04-13T00:51:22Z,,Taylor Chen,false,"performance|bulk"
TKT-00089,ACC-00096,ShopStream Inc.,Export fails with timeout,Bug,Medium,resolved,2024-04-12T19:38:01Z,2024-04-15T23:38:01Z,1,Sam Patel,false,"bug|backend"
TKT-00090,ACC-00027,CloudPeak,Google Sheets integration error,Integration,Low,resolved,2024-04-12T20:57:30Z,2024-04-13T20:57:30Z,2,Morgan Kim,false,"integration|oauth"
TKT-00091,ACC-00111,Spectrum,Help configuring SSO for first time,Onboarding,Medium,resolved,2024-04-12T21:08:39Z,2024-04-13T04:08:39Z,1,Taylor Chen,true,"onboarding|migration|follow-up"
TKT-00092,ACC-00077,Sterling Wealth Management,Zapier integration broken,Integration,Medium,resolved,2024-04-12T22:21:59Z,2024-04-13T05:21:59Z,1,Casey Wu,false,"integration|zapier|enterprise"
TKT-00093,ACC-00066,NOVACARE DIAGNOSTICS,Want ability to duplicate projects,Feature Request,High,resolved,2024-04-13T05:54:50Z,2024-04-17T13:54:50Z,,Alex Rivera,false,"feature|export"
TKT-00094,ACC-00099,EUROPA RETAIL GROUP,Mobile view layout issues,Bug,Low,resolved,2024-04-13T13:52:16Z,2024-04-14T03:52:16Z,5,Jordan Lee,false,"bug|critical"
TKT-00095,ACC-00047,DigitalBridge,Need help setting up team,Onboarding,Medium,pending,2024-04-13T14:35:25Z,,,Morgan Kim,false,"onboarding|migration"
TKT-00096,ACC-00084,TRUSTBANK DIGITAL,Need consolidated invoice for multiple accounts,Billing,Low,pending,2024-04-13T20:29:07Z,,,Jordan Lee,false,"billing|overcharge"
TKT-00097,ACC-00036,SYNTHETIX GMBH,OAuth token refresh not working,Integration,Low,resolved,2024-04-13T23:30:37Z,2024-04-14T08:30:37Z,2,Morgan Kim,false,"integration|slack"
TKT-00098,ACC-00026,Datastream,Question about prorated charges,Billing,Critical,resolved,2024-04-14T02:08:25Z,2024-04-14T19:08:25Z,2,Taylor Chen,true,"billing|invoice|follow-up"
TKT-00099,ACC-00068,Pacific Health,Slack notifications not working,Integration,Medium,resolved,2024-04-14T03:18:39Z,2024-04-14T21:18:39Z,5,Casey Wu,true,"integration|jira"
TKT-00100,ACC-00103,MERCADO ONLINE,Export fails with timeout,Bug,High,resolved,2024-04-14T07:26:01Z,2024-04-16T15:26:01Z,1,Sam Patel,false,"bug|notifications"
TKT-00101,ACC-00065,AETHER MEDICAL,GraphQL endpoint returning null,Integration,Medium,closed,2024-04-14T07:36:36Z,2024-04-16T04:36:36Z,5,Sam Patel,true,"integration|oauth"
TKT-00102,ACC-00049,Verdant Sys,Duplicate entries appearing in list view,Bug,Medium,resolved,2024-04-14T08:52:20Z,2024-04-17T21:52:20Z,1,Jordan Lee,false,"bug|search"
TKT-00103,ACC-00098,FreshMarket,Tax exemption certificate upload,Billing,Medium,resolved,2024-04-14T10:13:33Z,2024-04-14T17:13:33Z,4,Jordan Lee,true,"billing|overcharge"
TKT-00104,ACC-00082,FINOVA GROUP,API returns 500 errors,Integration,Medium,open,2024-04-14T11:29:37Z,,,Taylor Chen,false,"integration|api"
TKT-00105,ACC-00054,OMNICORE LABS,Currency conversion question,Billing,High,open,2024-04-14T15:15:17Z,,,Casey Wu,false,"billing|tax|urgent"
TKT-00106,ACC-00024,IRONCLAD SECURITY,Data not syncing between tabs,Bug,Low,resolved,2024-04-14T16:29:15Z,2024-04-19T22:29:15Z,,Sam Patel,false,"bug|permissions"
TKT-00107,ACC-00097,RETAILEDGE,API returns 500 errors,Integration,Medium,closed,2024-04-14T18:41:11Z,2024-04-15T05:41:11Z,3,Alex Rivera,false,"integration|salesforce|enterprise"
TKT-00108,ACC-00060,MedVantage Health,Widget not refreshing automatically,Bug,Medium,closed,2024-04-14T18:46:25Z,2024-04-16T14:46:25Z,1,Sam Patel,false,"bug|charts"
TKT-00109,ACC-00115,GreenVolt Power,Need security whitepaper,Security,High,resolved,2024-04-14T18:50:54Z,2024-04-15T18:50:54Z,5,Alex Rivera,false,"security|mfa|recurring"
TKT-00110,ACC-00099,EUROPA RETAIL GROUP,Drag-and-drop not working in Firefox,Bug,Medium,resolved,2024-04-14T19:04:35Z,2024-04-15T07:04:35Z,,Jordan Lee,false,"bug|ui"
TKT-00111,ACC-00068,Pacific Health,Need role-based access controls,Feature Request,Critical,resolved,2024-04-14T22:01:06Z,2024-04-18T09:01:06Z,4,Morgan Kim,false,"feature|integration|recurring"
TKT-00112,ACC-00088,Steelbridge,GraphQL endpoint returning null,Integration,Critical,resolved,2024-04-15T00:36:37Z,2024-04-15T14:36:37Z,,Taylor Chen,false,"integration|slack"
TKT-00113,ACC-00034,VANTA SOFTWARE,Duplicate entries appearing in list view,Bug,High,resolved,2024-04-15T03:49:15Z,2024-04-17T21:49:15Z,4,Taylor Chen,false,"bug|charts"
TKT-00114,ACC-00088,Steelbridge,Question about prorated charges,Billing,High,open,2024-04-15T06:01:15Z,,,Casey Wu,false,"billing|payment|follow-up"
TKT-00115,ACC-00095,Urban Mart Inc.,Concurrent user performance degradation,Performance,Medium,pending,2024-04-15T12:18:21Z,,,Sam Patel,false,"performance|slow"
TKT-00116,ACC-00098,FreshMarket,Need bulk export feature,Feature Request,Low,closed,2024-04-15T12:20:01Z,2024-04-17T01:20:01Z,3,Jordan Lee,false,"feature|export"
TKT-00117,ACC-00030,CORESTACK SOLUTIONS,Custom dashboard widgets,Feature Request,Critical,resolved,2024-04-15T12:42:40Z,2024-04-15T19:42:40Z,4,Jordan Lee,false,"feature|api"
TKT-00118,ACC-00056,SAPIENT DIGITAL,Question about annual pricing,Billing,Critical,open,2024-04-15T18:01:11Z,,,Taylor Chen,false,"billing|tax"
TKT-00119,ACC-00077,Sterling Wealth Management,Dark mode support request,Feature Request,Medium,resolved,2024-04-15T18:04:57Z,2024-04-16T10:04:57Z,3,Casey Wu,false,"feature|reporting|new-customer"
TKT-00120,ACC-00053,LIGHTSPEED INNOVATIONS,Billing discrepancy - overcharged by $1200,Billing,High,resolved,2024-04-15T18:26:45Z,2024-04-16T23:26:45Z,4,Sam Patel,false,"billing|urgent"
TKT-00121,ACC-00063,BIOSYNC MEDICAL,Need bulk export feature,Feature Request,High,resolved,2024-04-15T20:24:42Z,2024-04-16T19:24:42Z,3,Taylor Chen,false,"feature|branding"
TKT-00122,ACC-00066,NOVACARE DIAGNOSTICS,Search is extremely slow,Performance,High,resolved,2024-04-15T22:20:24Z,2024-04-17T14:20:24Z,5,Sam Patel,false,"performance|slow"
TKT-00123,ACC-00038,Alpine Data,Receipt not received for last payment,Billing,Medium,resolved,2024-04-15T23:04:33Z,2024-04-20T19:04:33Z,5,Sam Patel,false,"billing|payment|enterprise"
TKT-00124,ACC-00030,CORESTACK SOLUTIONS,Need role-based access controls,Feature Request,Medium,pending,2024-04-16T01:58:43Z,,,Sam Patel,false,"feature|mobile"
TKT-00125,ACC-00078,BankTech,API latency issues,Performance,Medium,resolved,2024-04-16T02:12:25Z,2024-04-21T13:12:25Z,4,Jordan Lee,false,"performance|query"
TKT-00126,ACC-00113,RISING SUN MEDIA,Charts showing wrong data,Bug,Low,resolved,2024-04-16T05:18:36Z,2024-04-18T21:18:36Z,5,Casey Wu,false,"bug|ui"
TKT-00127,ACC-00068,Pacific Health,Google Sheets integration error,Integration,Medium,resolved,2024-04-16T06:21:48Z,2024-04-16T22:21:48Z,,Sam Patel,false,"integration|api|enterprise"
TKT-00128,ACC-00038,Alpine Data,Mobile view layout issues,Bug,Medium,resolved,2024-04-16T17:25:22Z,2024-04-17T20:25:22Z,1,Morgan Kim,true,"bug|charts"
TKT-00129,ACC-00039,ORBIS TECH,Charts showing wrong data,Bug,Low,open,2024-04-16T17:28:49Z,,,Alex Rivera,false,"bug|critical"
TKT-00130,ACC-00108,AcademiQ Solutions,Broken pagination in reports,Bug,Medium,resolved,2024-04-16T18:28:11Z,2024-04-17T01:28:11Z,1,Morgan Kim,false,"bug|mobile"
TKT-00131,ACC-00080,FORTIS CAPITAL AG,Request: API rate limit increase,Feature Request,Low,pending,2024-04-16T21:24:37Z,,,Taylor Chen,false,"feature|mobile|escalated"
TKT-00132,ACC-00112,LUMINA BROADCASTING,Multi-language support request,Feature Request,High,open,2024-04-16T22:39:27Z,,,Morgan Kim,false,"feature|integration"
TKT-00133,ACC-00101,PACIFICMART,Request: scheduled report delivery,Feature Request,Medium,resolved,2024-04-17T02:49:11Z,2024-04-17T16:49:11Z,3,Casey Wu,false,"feature|integration"
TKT-00134,ACC-00027,CloudPeak,Duplicate entries appearing in list view,Bug,Low,resolved,2024-04-17T02:54:14Z,2024-04-19T03:54:14Z,4,Taylor Chen,false,"bug|search"
TKT-00135,ACC-00089,EUROFORGE GMBH,Notification emails not being sent,Bug,Medium,resolved,2024-04-17T04:40:51Z,2024-04-17T09:40:51Z,5,Sam Patel,false,"bug|dashboard"
TKT-00136,ACC-00036,SYNTHETIX GMBH,Request for mobile app,Feature Request,Medium,closed,2024-04-17T05:28:22Z,2024-04-18T19:28:22Z,2,Taylor Chen,false,"feature|api|recurring"
TKT-00137,ACC-00111,Spectrum,API returns 500 errors,Integration,Medium,resolved,2024-04-17T05:42:35Z,2024-04-17T15:42:35Z,,Sam Patel,false,"integration|slack"
TKT-00138,ACC-00063,BIOSYNC MEDICAL,Webhook delivery issues,Integration,Low,resolved,2024-04-17T10:51:03Z,2024-04-18T06:51:03Z,3,Alex Rivera,false,"integration|hubspot|new-customer"
TKT-00139,ACC-00089,EUROFORGE GMBH,Question about annual pricing,Billing,Medium,resolved,2024-04-17T12:31:29Z,2024-04-21T07:31:29Z,4,Casey Wu,false,"billing|urgent"
TKT-00140,ACC-00114,SOLARIS ENERGY,Request: custom branding options,Feature Request,High,resolved,2024-04-17T22:14:29Z,2024-04-18T13:14:29Z,4,Sam Patel,true,"feature|reporting"
TKT-00141,ACC-00060,MedVantage Health,Need to change billing contact,Billing,Low,resolved,2024-04-18T04:20:29Z,2024-04-18T14:20:29Z,3,Alex Rivera,false,"billing|payment"
TKT-00142,ACC-00106,BRIGHT MINDS ACADEMY,REST API authentication failing,Integration,Low,resolved,2024-04-18T12:23:16Z,2024-04-18T20:23:16Z,5,Jordan Lee,true,"integration|zapier"
TKT-00143,ACC-00116,Renewable Dyn.,Want ability to duplicate projects,Feature Request,Medium,resolved,2024-04-18T13:11:25Z,2024-04-20T08:11:25Z,3,Taylor Chen,false,"feature|api"
TKT-00144,ACC-00029,NEXTERA DIGITAL,Concurrent user performance degradation,Performance,Medium,resolved,2024-04-18T15:07:19Z,2024-04-20T05:07:19Z,4,Taylor Chen,false,"performance|export"
TKT-00145,ACC-00084,TRUSTBANK DIGITAL,Question about prorated charges,Billing,Low,resolved,2024-04-18T17:47:42Z,2024-04-19T03:47:42Z,3,Casey Wu,false,"billing|urgent"
TKT-00146,ACC-00045,AURORATECH,Request: API rate limit increase,Feature Request,Low,resolved,2024-04-18T19:24:22Z,2024-04-22T18:24:22Z,2,Sam Patel,true,"feature|integration"
TKT-00147,ACC-00023,NEBULA SYSTEMS,Duplicate entries appearing in list view,Bug,Medium,closed,2024-04-19T01:21:07Z,2024-04-19T21:21:07Z,4,Casey Wu,false,"bug|ui"
TKT-00148,ACC-00055,FLUXTECH,Drag-and-drop not working in Firefox,Bug,Critical,resolved,2024-04-19T01:54:19Z,2024-04-22T10:54:19Z,2,Morgan Kim,false,"bug|export"
TKT-00149,ACC-00118,VANGUARD ADVISORY,Data migration from competitor product,Onboarding,Critical,resolved,2024-04-19T02:09:58Z,2024-04-22T04:09:58Z,1,Casey Wu,true,"onboarding|migration"
TKT-00150,ACC-00113,RISING SUN MEDIA,Sorting order reversed after update,Bug,High,resolved,2024-04-19T06:18:54Z,2024-04-20T09:18:54Z,1,Taylor Chen,false,"bug|ui|recurring"
